simulation_id,yield_kg_ha,soc_change_t_ha
874,1635.5,0.75
875,2617.1,0.85
876,2349.6,0.93
877,2077.9,0.82
878,2974.9,1.15
879,4909.7,1.09
880,1965.3,0.88
881,3464.0,1.07
882,4143.0,1.19
883,2030.8,0.95
884,2526.2,0.8
885,2182.2,0.85
886,3003.3,1.06
887,2985.7,0.96
888,3038.7,0.96
889,1790.5,0.77
890,3909.6,1.03
891,2703.2,0.87
892,1476.5,0.68
893,2022.1,0.81
894,1604.7,0.82
895,4034.5,0.99
896,2108.8,0.91
897,2530.3,0.99
898,2304.4,0.85
899,4028.3,1.14
900,3737.5,0.96
901,2708.1,0.89
902,2649.4,1.03
903,3330.8,1.1
904,2808.1,1.05
905,2522.0,1.05
906,3820.2,1.09
907,2263.7,1.0
908,2571.5,0.84
909,3997.7,1.08
910,2042.5,0.98
911,3678.0,1.11
912,1809.1,0.78
913,3778.8,0.99
914,2416.5,0.79
915,2161.1,0.97
916,2470.1,0.9
917,2872.1,0.95
918,3049.8,1.02
919,3071.7,1.02
920,3786.5,0.98
921,3820.3,1.35
922,2404.0,0.99
923,4356.2,1.26
924,1926.8,0.89
925,2763.2,0.89
926,2912.3,0.92
927,3634.7,1.04
928,2270.9,0.85
929,2568.1,0.83
930,1874.3,0.87
931,3325.7,1.09
932,3428.6,1.03
933,2646.2,1.09
934,3076.2,0.93
935,4396.4,1.05
936,3006.8,1.06
937,2442.6,0.98
938,4069.1,1.11
939,3093.0,1.08
940,3199.2,1.12
941,3022.0,1.01
942,3261.1,1.05
943,2145.7,1.01
944,3437.7,1.15
945,4837.9,1.17
946,2576.5,1.07
947,3352.8,1.13
948,2390.8,0.88
949,3718.9,1.08
950,2870.3,0.9
951,2981.1,1.04
952,2298.0,0.79
953,3867.9,0.98
954,3986.4,1.25
955,2443.4,1.04
956,2920.2,0.99
957,3616.9,1.18
958,3883.2,1.17
959,3292.2,1.15
960,2755.2,0.91
961,2112.8,0.78
962,2224.9,0.96
963,2693.2,0.94
964,4748.3,1.18
965,2046.3,0.94
966,2764.9,1.06
967,3407.7,0.98
968,2958.3,1.01
969,3177.2,1.02
970,2660.0,1.07
971,2140.7,0.91
972,2896.7,1.04
973,3046.2,0.85
974,2099.9,0.86
975,2808.4,1.04
976,3050.9,1.03
977,3331.4,1.08
978,2713.6,0.9
979,1937.2,0.79
980,3504.9,1.06
981,2170.7,0.93
982,2952.0,0.82
983,2952.7,0.94
984,3185.9,1.17
985,1886.4,1.02
986,2087.7,0.74
987,2407.2,0.89
988,2504.0,0.84
989,3450.9,0.91
990,4196.3,1.2
991,2902.8,0.89
992,2782.2,0.9
993,2762.3,1.05
994,3683.8,1.21
995,1841.9,0.8
996,3225.0,1.27
997,2711.4,1.07
998,2576.6,1.02
999,2839.8,1.03
1000,2208.6,0.79
